厌倦,yànjuàn,to be weary of
厌恶,yànè,to loathe
倘若,tǎngruò,provided that
发觉,fājué,to find
承诺,chéngnuò,to promise
草率,cǎolǜ,careless
对抗,duìkàng,to withstand
尝试,chángshì,to try
盲目,mángmù,blind
乘,chéng,to avail oneself of
喘气,chuǎnqì,to breathe deeply
饶恕,ráoshù,to forgive
强迫,qiángpò,to compel
实施,shíshī,to implement
不料,bùliào,unexpectedly
猛烈,měngliè,fierce
子弹,zǐdàn,bullet
蔑视,mièshì,to loathe
眼光,yǎnguāng,gaze
盯,dīng,to watch attentively
愤怒,fènnù,angry
愚蠢,yúchǔn,silly
家伙,jiāhuǒ,fellow
可恶,kěè,repulsive
耍,shuǎ,to play
流氓,liúmáng,rogue
扁,biǎn,flat
夕阳,xīyáng,sunset
留神,liúshén,to take care
打猎,dǎliè,to go hunting
不顾,bùgù,in spite of
挣扎,zhēngzhā,to struggle
窜,cuàn,to flee
摆脱,bǎituō,to break away from
死亡,sǐwáng,to die
恰巧,qiàqiǎo,fortunately
毫无,háowú,not in the least
抵抗,dǐkàng,to resist
部位,bùwèi,position
悲惨,bēicǎn,miserable
未免,wèimiǎn,unavoidably
残忍,cánrěn,cruel
良心,liángxīn,conscience
锋利,fēnglì,sharp (e.g. knife blade)
缠绕,chánrào,twisting
耗费,hàofèi,to waste
缺口,quēkǒu,nick
举世瞩目,jǔshìzhǔmù,to receive worldwide attention
