启示,qǐshì,to reveal
老公,lǎogōng,husband
爽快,shuǎngkuài,refreshed
巴不得,bābùdé,to be eager for
嚷,rǎng,to blurt out
拿手,náshǒu,expert in
佳肴,jiāyáo,fine food
异常,yìcháng,exceptional
勤劳,qínláo,hardworking
绅士,shēnshì,gentleman
风度,fēngdù,elegance (for men)
十足,shízú,ample
督促,dūcù,to supervise and urge completion of a task
打架,dǎjià,to fight
别扭,biéniǔ,awkward
融洽,róngqià,harmonious
亲密,qīnmì,intimate
忽略,hūlvè,to neglect
嫉妒,jídù,to be jealous
滔滔不绝,tāotāobùjué,unceasing torrent (idiom)
嘲笑,cháoxiào,to jeer at
讨好,tǎohǎo,to get the desired outcome
郑重,zhèngzhòng,serious
当面,dāngmiàn,to sb's face
人家,rénjiā,household
附和,fùhé,to parrot
大伙儿,dàhuǒér,we all
和睦,hémù,peaceful relations
宽容,kuānróng,lenient
疑惑,yíhuò,to doubt
反问,fǎnwèn,to ask (a question) in reply
瞬间,shùnjiān,moment
鸦雀无声,yāquèwúshēng,lit. crow and peacock make no sound
启蒙,qǐméng,to instruct the young
任,rèn,term of office
反驳,fǎnbó,to retort
意识,yìshì,consciousness
实行,shíxíng,to implement
严厉,yánlì,severe
约束,yuēshù,to restrict
