做主,zuòzhǔ,be the master
伤脑筋,shāngnǎojīn,to be a real headache
枯燥,kūzào,dry and dull
擅长,shàncháng,to be good at
成本,chéngběn,(manufacturing
急躁,jízào,irritable
顾虑,gùlǜ,misgivings
过度,guòdù,excessive
致使,zhìshǐ,to cause
终身,zhōngshēn,lifelong
悔恨,huǐhèn,remorse
类似,lèisì,similar
并非,bìngfēi,really isn't
精确,jīngquè,accurate
天生,tiānshēng,nature
挫折,cuòzhé,setback
意志,yìzhì,will
敏锐,mǐnruì,keen
畏惧,wèijù,to fear
勇于,yǒngyú,to dare to
伴随,bànsuí,to accompany
日益,rìyì,day by day
昔日,xīrì,formerly
风光,fēngguāng,scene
亏损,kuīsǔn,deficit
倒闭,dǎobì,to go bankrupt
金融,jīnróng,banking
危机,wēijī,crisis
盈利,yínglì,profit
运行,yùnxíng,to be in motion
裁员,cáiyuán,to cut staff
意味着,yìwèizháo,to signify
英明,yīngmíng,wise
称心如意,chēngxīnrúyì,after one's heart (idiom); gratifying and satisfactory
除,chú,to get rid of
争先恐后,zhēngxiānkǒnghòu,striving to be first and fearing to be last (idiom); outdoing one another
热门,rèmén,popular
以致,yǐzhì,to such an extent as to
饱和,bǎohé,saturation
就业,jiùyè,looking for employment
及早,jízǎo,at the earliest possible time
机遇,jīyù,opportunity
心灵,xīnlíng,bright
免疫,miǎnyì,immunity (to disease)
决策,juécè,strategic decision
